0	4	0 0 0.00251362 0.0792535 0.459856 1.53056 3.58022 6.40789 10.2765 14.8338 20.2607 26.7442 35.6019 46.955 60.3292 78.2658 99.9817 124.505 144.619 148.351 161.71 182.696 203.682 212.274 210.967 209.66 208.354 207.047 207.653 208.33 209.007 209.684 219.792 238.163 234.659 228.724 226.284 227.091 222.735 218.38 214.024 209.669 205.314 200.958 196.836 192.293 187.729 183.294 179.837 176.253 172.738 168.811 165.298 162.651 160.747 158.747 157.023 155.189 153.582 151.484 149.773 148.2 146.22 144.859 143.541 142.405 140.958 139.553 138.058 136.742 135.191 133.484 131.66 130.295 128.571 126.859 124.989 123.201 122.081 120.139 118.615 116.846 115.959 114.664 113.679 113.349 112.697 112.198 112.169 112.177 112.112 112.329 112.756 113.49 113.725 114.346 114.885 115.508 116.129 116.853 117.197 117.634 118.071 118.508 118.945 119.383 119.82 120.257 120.694 121.131 121.568 120.95 120.332 119.714 119.095 118.477 117.859 117.24 116.622 116.004 115.386 114.435 113.484 112.533 111.582 110.632 109.681 108.73 107.779 106.828 105.877 105.119 104.36 103.601 102.843 102.084 101.325 100.567 99.8082 99.0495 98.2909 97.5414 96.792 96.0426 95.2932 94.5438 93.7944 93.0449 92.2955 91.5461 90.7967 90.2845 89.7722 89.26 88.7478 88.2355 87.7233 87.2111 86.6989 86.1866 85.6744 85.1527 84.6311 84.1095 83.5878 83.0662 82.5445 82.0229 81.5012 80.9796 80.4579 79.9151 79.3723 78.8295 78.2867 77.7439 77.2011 76.6583 76.1155 75.5727 75.0299 74.6033 74.1766 73.75 73.3233 72.8966 72.47 72.0433 71.6167 71.19 70.7634 70.3298 69.8962 69.4626 69.029 68.5954 68.1618 67.7282 67.2946 66.861 66.4274

1	4	131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 127.008 116.449 105.89 95.331 84.7719 74.2128 63.6537 53.0946 42.5355 31.9764 30.6434 40.7805 43.1792 41.516 35.0342 33.4068 36.186 38.4548 34.4124 33.0017 38.1389 46.0542 47.8726 49.3899 50.3947 48.1969 43.057 36.1483 27.3906 23.4902 26.419 31.9796 36.1114 28.8076 24.1357 22.0956 30.5481 41.5072 52.4662 63.4253 74.3844 85.3435 96.3026 107.262 118.221 129.18 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591 131.591


0	10	47.7065 48.3976 50.4805 53.8895 58.4731 63.9651 70.0548 76.5059 83.0857 90.0199 96.8814 103.473 117.059 132.667 146.999 160.65 172.581 183.28 197.261 208.565 210.695 206.5 203.27 200.096 196.922 193.748 190.574 185.785 174.066 162.348 150.629 138.91 127.191 115.473 103.754 92.0352 85.7927 81.431 77.0968 73.3033 69.9524 66.8837 64.726 63.353 61.8806 60.3761 59.0574 57.5088 55.9466 54.3653 52.9438 51.4251 49.8884 48.1795 46.7118 45.027 43.209 41.6552 39.9459 38.5041 36.8552 35.5766 34.1171 32.5829 31.351 30.3835 29.181 27.9729 27.0944 26.062 25.0083 24.1096 23.2661 22.3199 21.6039 20.8649 20.0867 19.3779 18.7503 18.1089 17.3714 16.7846 16.1843 15.4745 14.9296 14.5605 13.8211 13.2178 12.7461 12.2788 11.8316 11.3379 10.838 10.4898 10.1051 9.67243 9.24253 9.05546 8.70328 8.31146 8.04346 7.85762 7.67178 7.48594 7.3001 7.11426 6.92841 6.74257 6.55673 6.37089 6.18505 6.0451 5.90515 5.7652 5.62525 5.4853 5.34535 5.2054 5.06545 4.9255 4.78555 4.70403 4.62251 4.541 4.45948 4.37796 4.29644 4.21492 4.1334 4.05188 3.97036 3.89498 3.81959 3.7442 3.66882 3.59343 3.51805 3.44266 3.36727 3.29189 3.2165 3.15671 3.09691 3.03711 2.97732 2.91752 2.85773 2.79793 2.73813 2.67834 2.61854 2.56073 2.50293 2.44512 2.38731 2.32951 2.2717 2.21389 2.15608 2.09828 2.04047 1.99128 1.94209 1.8929 1.84371 1.79452 1.74533 1.69614 1.64695 1.59776 1.54857 1.52687 1.50516 1.48346 1.46176 1.44005 1.41835 1.39665 1.37495 1.35324 1.33154 1.28998 1.24841 1.20684 1.16528 1.12371 1.08215 1.04058 0.999016 0.95745 0.915885 0.895382 0.87488 0.854377 0.833874 0.813372 0.792869 0.772367 0.751864 0.731362 0.710859

1	10	87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 82.6393 77.2083 71.7773 66.3463 60.9153 55.4843 50.0533 44.6223 39.1913 33.7603 34.1007 37.0045 41.4119 37.9055 36.1452 36.0088 37.0936 39.9245 44.5017 50.8251 44.659 39.7229 36.533 35.0892 38.8762 44.1072 49.3382 54.5691 59.8001 65.0311 70.2621 75.4931 80.7241 85.9551 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099 87.3099


